Track Name,,Line name,1150114XYLDN,Report Name,Wear_right,Operator,
Starting Km,101.800,Ending Km,,Track Direction, decrease
Wavelength, , Measurement Date, 2026.01.15, Measurement Time, 01:34:32

check,mile(Km),W1/R,W2/R,W3/R,W4/R,ID
551,101.662250,inf,inf,inf,inf,
552,101.662000,inf,inf,inf,inf,
553,101.661750,inf,inf,inf,inf,
554,101.661500,inf,inf,inf,inf,
555,101.661250,inf,inf,inf,inf,
556,101.661000,inf,inf,inf,inf,
557,101.660750,inf,inf,inf,inf,
558,101.660500,inf,inf,inf,inf,
559,101.660250,inf,inf,inf,inf,
560,101.660000,inf,inf,inf,inf,
561,101.659750,inf,inf,inf,inf,
562,101.659500,inf,inf,inf,inf,
563,101.659250,inf,inf,inf,inf,
564,101.659000,inf,inf,inf,inf,
565,101.658750,inf,inf,inf,inf,
566,101.658500,inf,inf,inf,inf,
567,101.658250,inf,inf,inf,inf,
568,101.658000,inf,inf,inf,inf,
569,101.657750,inf,inf,30.0,inf,
570,101.657500,inf,inf,inf,inf,
571,101.657250,inf,inf,inf,inf,
572,101.657000,inf,inf,inf,inf,
573,101.656750,inf,inf,inf,inf,
574,101.656500,inf,inf,inf,inf,
575,101.656250,inf,inf,inf,inf,
576,101.656000,inf,inf,inf,inf,
577,101.655750,inf,inf,inf,inf,
578,101.655500,inf,inf,inf,inf,
579,101.655250,inf,inf,inf,inf,
580,101.655000,inf,inf,inf,inf,
581,101.654750,inf,inf,30.0,inf,
582,101.654500,inf,inf,inf,inf,
583,101.654250,inf,inf,inf,inf,
584,101.654000,inf,inf,inf,inf,
585,101.653750,inf,inf,inf,inf,
586,101.653500,inf,inf,inf,inf,
587,101.653250,inf,inf,inf,inf,
588,101.653000,inf,inf,inf,inf,
589,101.652750,inf,inf,inf,inf,
590,101.652500,inf,inf,inf,inf,
591,101.652250,inf,inf,inf,inf,
592,101.652000,inf,inf,inf,inf,
593,101.651750,inf,inf,inf,inf,
594,101.651500,inf,inf,inf,inf,
595,101.651250,inf,inf,inf,inf,
596,101.651000,inf,inf,30.0,inf,
597,101.650750,inf,inf,inf,inf,
598,101.650500,inf,inf,inf,inf,
599,101.650250,inf,inf,inf,inf,
600,101.650000,inf,inf,inf,inf,
601,101.649750,inf,inf,inf,inf,
